Retailer Name,Brand1,Brand2,Brand3,Brand4,Brand5,Brand6,Brand8,Brand9,Brand10,Brand11,Brand12,Number of Brands,Total Sales,cluster
Retailer 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30826.61,0.0,0.0,1,30826.61,3
Retailer 2,9833.106,0.0,0.0,24073.632,33806.4312,0.0,0.0,0.0,0.0,0.0,0.0,3,67713.1692,0
Retailer 3,24690.6708,0.0,0.0,0.0,27367.0386,0.0,0.0,12948.696000000002,0.0,0.0,0.0,3,65006.4054,0
Retailer 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25897.392000000003,0.0,0.0,0.0,1,25897.392000000003,3
Retailer 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31309.9064,0.0,0.0,1,31309.9064,3
Retailer 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 13,3277.702,0.0,0.0,0.0,12556.5876,0.0,0.0,12948.696000000002,0.0,0.0,0.0,3,28782.9856,0
Retailer 14,12345.3354,0.0,0.0,0.0,5151.1088,0.0,6714.983,12948.696000000002,36385.5318,15449.2736,0.0,6,88994.9286,2
Retailer 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 16,0.0,0.0,0.0,120368.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,120368.16,3
Retailer 17,0.0,0.0,0.0,24073.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24073.632,3
Retailer 18,0.0,0.0,0.0,0.0,10624.9218,0.0,0.0,0.0,11863.5588,18064.3428,0.0,3,40552.8234,0
Retailer 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10579.3278,0.0,0.0,1,10579.3278,3
Retailer 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 23,0.0,0.0,0.0,120368.16,0.0,17976.1944,0.0,12948.696000000002,0.0,5656.6956,0.0,4,156949.74599999998,0
Retailer 24,3277.702,0.0,0.0,4012.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7289.974,3
Retailer 25,10987.1408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3771.1304,0.0,3,20332.8976,0
Retailer 26,3277.702,0.0,0.0,0.0,0.0,8062.0324,2685.9932,0.0,3098.3656,0.0,0.0,4,17124.0932,0
Retailer 27,28805.7826,0.0,0.0,0.0,30103.6918,0.0,2685.9932,25897.392000000003,2416.9886,1885.5652,3712.8714,8,106546.5922,2
Retailer 28,13110.808,0.0,0.0,0.0,67612.8624,0.0,0.0,51794.78400000001,7064.536999999999,0.0,0.0,4,139582.9914,0
Retailer 29,18099.2982,0.0,0.0,0.0,6278.2938,0.0,5371.9864,12948.696000000002,16776.058999999997,3771.1304,0.0,6,63245.4638,2
Retailer 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25897.392000000003,0.0,0.0,0.0,1,25897.392000000003,3
Retailer 31,0.0,0.0,0.0,0.0,41854.7854,0.0,0.0,38846.087999999996,10095.5248,27709.5002,0.0,5,129544.2058,2
Retailer 32,0.0,23082.7224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23082.7224,3
Retailer 33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 34,17261.8884,0.0,0.0,12036.816,0.0,11234.3616,8057.9796,12948.696000000002,19874.4246,3771.1304,0.0,7,85185.2966,2
Retailer 35,17261.8884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10095.5248,5656.6956,0.0,4,41265.102999999996,0
Retailer 36,12345.3354,0.0,0.0,0.0,2092.7646,16156.4872,0.0,0.0,16055.1672,0.0,0.0,5,52224.3808,2
Retailer 37,0.0,0.0,0.0,0.0,46363.0188,0.0,6714.983,0.0,4647.5484,0.0,0.0,3,57725.5502,0
Retailer 38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 39,24690.6708,0.0,0.0,0.0,0.0,0.0,4028.9898,25897.392000000003,0.0,11313.3912,0.0,5,74292.3834,2
Retailer 40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23797.0284,20741.2172,0.0,3,61040.234000000004,0
Retailer 43,0.0,0.0,0.0,12036.816,0.0,0.0,4028.9898,25897.392000000003,0.0,0.0,0.0,4,55788.8184,0
Retailer 44,12345.3354,0.0,0.0,0.0,5634.4052,31459.86,0.0,38846.087999999996,0.0,5656.6956,0.0,6,114593.4266,2
Retailer 45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12948.696000000002,0.0,0.0,0.0,1,12948.696000000002,3
Retailer 47,0.0,0.0,0.0,24073.632,0.0,0.0,8057.9796,0.0,0.0,0.0,0.0,2,32131.6116,3
Retailer 48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 56,0.0,0.0,0.0,24073.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24073.632,3
Retailer 57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 58,0.0,0.0,0.0,240736.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,240736.32,3
Retailer 59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 62,0.0,0.0,0.0,0.0,0.0,19465.5984,5371.9864,0.0,5931.7794,0.0,0.0,3,30769.3642,0
Retailer 63,0.0,0.0,0.0,24073.632,0.0,0.0,0.0,0.0,0.0,6203.8236,0.0,2,30277.4556,3
Retailer 64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 65,17261.8884,0.0,0.0,0.0,7083.2812,0.0,0.0,0.0,0.0,6203.8236,0.0,3,30548.9932,0
Retailer 66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 67,0.0,0.0,0.0,0.0,0.0,19465.5984,2685.9932,0.0,10579.3278,0.0,0.0,3,32730.9194,0
Retailer 68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 69,0.0,0.0,0.0,24073.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24073.632,3
Retailer 70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 71,0.0,0.0,0.0,24073.632,8371.0584,9635.532,8057.9796,12948.696000000002,0.0,0.0,0.0,5,63086.898,2
Retailer 72,0.0,0.0,0.0,24073.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24073.632,3
Retailer 73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 74,0.0,0.0,0.0,240736.32,0.0,0.0,0.0,12948.696000000002,0.0,11860.5192,0.0,3,265545.5352,0
Retailer 75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
Retailer 77,0.0,0.0,0.0,24073.632,0.0,0.0,4028.9898,0.0,0.0,0.0,0.0,2,28102.6218,3
